tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
531,56:42.8,05:34.5,52,Newbury St at Hereford St,42.348717,-71.085954,380,Mass Ave at Albany St,42.36135838,-71.09670274,2494,Subscriber,1995,2
1140,02:38.6,21:39.3,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,6,Cambridge St at Joy St,42.36121165,-71.0653062,4840,Subscriber,1984,1
1554,18:18.1,44:12.7,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,3162,Subscriber,1989,1
881,08:17.8,22:59.5,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,4058,Subscriber,1988,1
245,54:13.5,58:18.8,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3543,Subscriber,2000,1
327,11:56.0,17:23.8,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,228,One Memorial Drive,42.36161932,-71.08043551,5151,Subscriber,1995,1
686,09:36.8,21:03.0,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,61,Boylston St at Fairfield St,42.348762,-71.082383,4022,Subscriber,1992,1
7342,09:25.8,11:48.2,332,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,3631,Customer,1997,2
420,43:01.0,50:01.3,179,MIT Vassar St,42.35560121,-71.10394478,189,Kendall T,42.36242784,-71.08495474,5637,Subscriber,1988,1
2859,30:05.6,17:45.1,58,Mugar Way at Beacon St,42.35553628,-71.0728687,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5859,Customer,1969,0
795,34:18.5,47:33.8,103,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,227,Silber Way,42.349496,-71.10057592,2147,Subscriber,1993,1
1103,57:10.8,15:34.8,329,Washington St at Myrtle St,42.380998,-71.08721308,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,3415,Subscriber,1988,1
815,18:17.3,31:52.5,6,Cambridge St at Joy St,42.36121165,-71.0653062,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,3676,Subscriber,1995,1
1309,15:11.5,37:01.1,192,Purchase St at Pearl St,42.354659,-71.053181,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,2729,Subscriber,1984,1
216,16:45.2,20:22.0,212,Maverick Square - Lewis Mall,42.36884408,-71.03977829,211,Piers Park,42.36489293,-71.03497177,5141,Subscriber,1992,2
510,47:32.6,56:03.5,443,Whittier St Health Center,42.33286288,-71.09218862,11,Longwood Ave at Binney St,42.338629,-71.1065,4753,Subscriber,2002,1
1528,19:38.8,45:07.4,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,39,Washington St at Rutland St,42.3385146,-71.07404083,2233,Subscriber,1962,1
1565,02:48.3,28:53.8,403,Marion St at Harvard St,42.33978053,-71.1213335,50,Boylston St at Berkeley St,42.35114198,-71.07329249,4518,Subscriber,1992,2
1895,59:18.7,30:54.5,409,Elm St at White St,42.38952436,-71.1169414,393,Ferry St at Pleasantview Ave,42.41250451,-71.05842225,5645,Subscriber,1992,1
1081,36:21.3,54:23.1,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,3787,Subscriber,1993,2
233,07:48.1,11:41.3,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,3229,Subscriber,1999,1
250,19:57.4,24:08.2,420,Charles St at Pinckney St,42.3587253,-71.07079532,345,Park Plaza at Charles St S.,42.35182807,-71.06781138,5377,Subscriber,1999,1
