Date,Calories (kcal),Step count
11/15/18,1908.59117,4330
11/16/18,2067.226429,6697
11/17/18,2267.027681,5802
11/18/18,2208.893818,7362
11/19/18,1943.005256,4105
11/20/18,2036.484233,3837
11/21/18,2102.855855,4752
11/22/18,1886.453317,2093
11/23/18,1913.555305,1352
11/24/18,2094.737394,5002
11/25/18,2195.714435,5604
11/26/18,1895.649101,2990
11/27/18,2061.579141,6056
11/28/18,1898.658932,3141
11/29/18,2059.627411,3642
11/30/18,2190.927073,6785
12/1/18,2184.206466,5367
12/2/18,2242.304627,5384
12/3/18,1998.569136,5400
12/4/18,2124.549764,4842
12/5/18,2014.780409,3790
12/6/18,2111.427358,5139
12/7/18,1981.020783,4478
12/8/18,1887.824937,2537
12/9/18,2246.866992,5563
12/10/18,1967.285609,4541
12/11/18,1846.898635,2255
12/12/18,2056.619425,4874
12/13/18,2253.402954,9554
12/14/18,2148.261732,6731
12/15/18,2335.377522,12258
12/16/18,2121.266512,8706
12/17/18,2019.324914,5987
12/18/18,2038.468873,4351
12/19/18,2164.732819,6684
12/20/18,1920.856812,1943
12/21/18,1824.117383,2522
12/22/18,1876.994729,1672
12/23/18,2082.288291,4775
12/24/18,1936.002243,4386
12/25/18,1861.73097,2294
12/26/18,2023.606709,4641
12/27/18,1928.144317,1779
12/28/18,1908.003637,1967
12/29/18,1831.290877,2288
12/30/18,1980.802505,6024
12/31/18,1814.172117,1959
1/1/19,1778.737025,1362
1/2/19,1842.688826,2882
1/3/19,1973.211575,3134
1/4/19,1988.189769,6699
1/5/19,1835.44428,887
1/6/19,1930.494691,4594
1/7/19,2041.980931,5608
1/8/19,1998.475845,4727
1/9/19,1808.245288,3593
1/10/19,1934.173245,3593
1/11/19,1960.78327,3737
1/12/19,2007.687702,3516
1/13/19,1958.899408,3044
1/14/19,2020.184087,4004
1/15/19,2097.880578,5117
1/16/19,2017.352949,3626
1/17/19,1839.912609,2800
1/18/19,1929.497112,3449
1/19/19,2144.464204,5616
1/20/19,1940.824974,3019
1/21/19,2022.599978,1906
1/22/19,1887.404301,5091
1/23/19,1989.596511,5661
1/24/19,1948.706797,3530
1/25/19,1880.929881,3824
1/26/19,1813.500807,2327
1/27/19,1919.054394,2326
1/28/19,1913.968119,5534
1/29/19,1951.245468,5042
1/30/19,1657.969322,2289
1/31/19,1834.106076,3612
2/1/19,2008.298575,8917
2/2/19,2058.800938,5994
2/3/19,2005.816248,5621
2/4/19,2001.388441,7008
2/5/19,1892.254495,3158
2/6/19,1825.386695,3507
2/7/19,1886.910157,3586
2/8/19,2242.75413,5290
2/9/19,1833.200343,4219
2/10/19,1908.468419,2639
2/11/19,2130.141742,5611
2/12/19,2513.999768,5422
2/13/19,2056.767429,3966
2/14/19,1929.43976,3605
2/15/19,1946.270519,4146
2/16/19,2023.605476,5134
2/17/19,1861.360555,2145
2/18/19,1987.726918,6703
2/19/19,1869.489833,3350
2/20/19,1930.726501,4289
2/21/19,2046.226676,4070
2/22/19,1978.042065,4471
2/23/19,1855.439129,3753
2/24/19,2051.025317,4534
2/25/19,2119.183596,7370
2/26/19,2193.190491,6355
2/27/19,2041.040445,5406
2/28/19,2030.381716,4813
3/1/19,2263.662053,8132
3/2/19,2159.62036,7830
3/3/19,2162.095557,7103
3/4/19,2469.561254,5933
3/5/19,2034.142342,4280
3/6/19,2213.688076,8681
3/7/19,2177.026994,6538
3/8/19,2060.67599,4623
3/9/19,2156.97028,6381
3/10/19,1913.976004,3392
3/11/19,2235.503478,7021
3/12/19,2179.535212,6051
3/13/19,2144.716557,5792
3/14/19,2038.600832,6329
3/15/19,2112.337348,4781
3/16/19,2143.332468,5038
3/17/19,2249.674158,5338
3/18/19,2087.282526,3831
3/19/19,2032.036863,4942
3/20/19,2082.407177,4994
3/21/19,2166.534923,5297
3/22/19,2344.933578,8278
3/23/19,2059.319456,5323
3/24/19,2132.414091,8171
3/25/19,1860.916085,1060
3/26/19,2189.220992,6692
3/27/19,2142.206851,6478
3/28/19,2213.710037,6958
3/29/19,2110.449784,5497
3/30/19,2212.471412,6607
3/31/19,2012.370496,3846
4/1/19,1970.672705,3528
4/2/19,2104.065832,4411
4/3/19,2143.470357,5298
4/4/19,2201.88636,6796
4/5/19,2197.164466,5396
4/6/19,2063.982627,4604
4/7/19,2142.306998,6755
4/8/19,2140.523651,5886
4/9/19,2038.962727,6799
4/10/19,2064.009601,5171
4/11/19,2066.864898,3678
4/12/19,2012.381226,3713
4/13/19,2042.494523,4892
4/14/19,2247.833862,7459
4/15/19,2133.171857,6800
4/16/19,2110.716334,6666
4/17/19,2199.245963,5518
4/18/19,2151.412209,5501
4/19/19,2170.528823,6897
4/20/19,2350.054144,8364
4/21/19,2334.812511,6736
4/22/19,2159.471198,4446
4/23/19,2090.428182,5266
4/24/19,2121.730905,4836
4/25/19,2102.711511,5707
4/26/19,2110.584003,6020
4/27/19,2247.748441,5905
4/28/19,2241.960083,7191
4/29/19,2085.971794,4712
4/30/19,2276.080526,9699
5/1/19,2071.33936,5862
5/2/19,2075.545979,4686
5/3/19,2194.017994,6809
5/4/19,2148.716543,6779
5/5/19,2091.240421,3709
5/6/19,2215.961124,6170
5/7/19,2139.133756,6655
5/8/19,2237.16465,5801
5/9/19,2027.416847,4074
5/10/19,2063.040812,5373
5/11/19,2037.411765,3142
5/12/19,2273.010725,6445
5/13/19,2492.595067,9517
5/14/19,2324.476094,6826
5/15/19,2105.191984,4590
5/16/19,2130.806282,5974
5/17/19,2182.822505,6037
5/18/19,2388.580307,8488
5/19/19,2105.222502,4100
5/20/19,2063.462024,4266
5/21/19,1974.376252,1717
5/22/19,1990.839767,2698
5/23/19,2098.102271,5816
5/24/19,2164.299485,6789
5/25/19,2236.746501,7445
5/26/19,1906.502467,1975
5/27/19,1950.7094,2369
5/28/19,2234.686367,5739
5/29/19,2157.769968,5378
5/30/19,2192.541922,4446
5/31/19,2278.850803,8362
6/1/19,2256.261323,6039
6/2/19,2098.706996,2596
6/3/19,2087.229363,4435
6/4/19,2232.556145,7272
6/5/19,2116.036645,7717
6/6/19,2131.414375,7479
6/7/19,2238.571488,8828
6/8/19,1959.264154,2727
6/9/19,2403.622632,10720
6/10/19,2196.109277,7869
